iter	Logloss
0	0.6828405762
1	0.6729259033
2	0.6635389404
3	0.6546345215
4	0.6462978516
5	0.6384379883
6	0.6310265503
7	0.6239157715
8	0.6171464233
9	0.6108631592
10	0.6048365479
11	0.5991656494
12	0.5938209229
13	0.5887163696
14	0.5838933105
15	0.5792747803
16	0.5749488525
17	0.5708838501
18	0.5669429932
19	0.5632740479
20	0.5597623291
21	0.5564302979
22	0.5532171631
23	0.5502041016
24	0.5472642822
25	0.5445548096
26	0.5420627441
27	0.5396282959
28	0.5372684937
29	0.535104126
30	0.5329400635
31	0.5309772949
32	0.5291070557
33	0.5273378906
34	0.5256555176
35	0.5240180054
36	0.5224864502
37	0.5210092773
38	0.5195679932
39	0.518168457
40	0.516970459
41	0.5158363647
42	0.5147449951
43	0.5136418457
44	0.5126060791
45	0.5115907593
46	0.5105657959
47	0.5095315552
48	0.5086294556
49	0.5078054199
50	0.5070561829
51	0.5063179321
52	0.5054597778
53	0.504690979
54	0.5040262756
55	0.5033199463
56	0.5026614685
57	0.5021027832
58	0.5014616699
59	0.5008904724
60	0.5003922729
61	0.4998991394
62	0.4994165039
63	0.49890625
64	0.4984934082
65	0.4980021057
66	0.4976596985
67	0.4972525024
68	0.4968982239
69	0.4964843445
70	0.4960517578
71	0.495706543
72	0.4954448547
73	0.4950852051
74	0.4947763672
75	0.4944645996
76	0.494107666
77	0.4938062134
78	0.493418396
79	0.4930975342
80	0.4928063354
81	0.4925191345
82	0.4922044067
83	0.4919224243
84	0.4916826782
85	0.4914202271
86	0.491177124
87	0.4910601196
88	0.4908262939
89	0.4905862732
90	0.4903341064
91	0.4900203247
92	0.4898501587
93	0.4895951538
94	0.489372467
95	0.4891244507
96	0.4889517822
97	0.4887432861
98	0.4885735168
99	0.4884217529
100	0.4882225952
101	0.4879874268
102	0.487843689
103	0.4876495972
104	0.4874591064
105	0.4872982178
106	0.4871193542
107	0.4869041748
108	0.4866847534
109	0.4864417114
110	0.486211792
111	0.4860238037
112	0.4857406311
113	0.4854920654
114	0.4853315125
115	0.4851321411
116	0.4850030518
117	0.4847564697
118	0.4845374756
119	0.4843686523
120	0.484161377
121	0.4839573364
122	0.4837571411
123	0.4836521912
124	0.4834835815
125	0.483280365
126	0.4831091309
127	0.4829522095
128	0.4827079163
129	0.4825204468
130	0.4823235474
131	0.4820983887
132	0.4819502869
133	0.4817479553
134	0.4815234375
135	0.4812636108
136	0.4811428833
137	0.4810003052
138	0.4808845825
139	0.4807459717
140	0.4806160889
141	0.4804511108
142	0.480327301
143	0.4800491638
144	0.4799444885
145	0.4797230225
146	0.4796043701
147	0.4794182434
148	0.4792216797
149	0.4791021118
150	0.4788951416
151	0.4788024902
152	0.4786756592
153	0.4785525513
154	0.4784068604
155	0.4782932739
156	0.4781674194
157	0.4779069214
158	0.477755127
159	0.4775526733
160	0.4773756104
161	0.4772312012
162	0.4770875549
163	0.4769499817
164	0.4768077393
165	0.4766748657
166	0.4764874268
167	0.4763595581
168	0.4762092285
169	0.4761151123
170	0.4758991394
171	0.4758197021
172	0.4756682129
173	0.4754447021
174	0.4753384399
175	0.4751610718
176	0.4749921265
177	0.4747859192
178	0.4745980225
179	0.4744762878
180	0.4743260803
181	0.4741262207
182	0.4740525208
183	0.4738790283
184	0.4736421509
