iter	Passed	Remaining
0	5	509
1	8	410
2	11	357
3	13	326
4	16	308
5	20	317
6	23	306
7	25	298
8	29	295
9	32	291
10	34	282
11	37	278
12	40	271
13	43	264
14	46	263
15	48	256
16	51	251
17	54	246
18	56	242
19	60	243
20	63	238
21	66	234
22	68	229
23	71	225
24	74	223
25	77	221
26	80	216
27	82	211
28	85	208
29	87	205
30	91	203
31	94	200
32	97	197
33	99	193
34	102	190
35	107	190
36	111	189
37	113	185
38	116	182
39	119	179
40	122	176
41	125	173
42	127	169
43	130	165
44	132	162
45	136	160
46	138	156
47	142	154
48	145	150
49	147	147
50	150	144
51	152	141
52	157	139
53	159	135
54	160	131
55	162	127
56	166	125
57	168	122
58	172	119
59	174	116
60	177	113
61	180	110
62	183	108
63	187	105
64	189	102
65	191	98
66	194	95
67	197	93
68	200	90
69	203	87
70	205	84
71	208	81
72	211	78
73	214	75
74	217	72
75	219	69
76	221	66
77	224	63
78	227	60
79	229	57
80	231	54
81	234	51
82	236	48
83	240	45
84	242	42
85	244	39
86	246	36
87	248	33
88	251	31
89	254	28
90	257	25
91	259	22
92	262	19
93	264	16
94	267	14
95	270	11
96	272	8
97	274	5
98	276	2
99	279	0
