user_id,age,gender,region,plan,device_type,preferred_genre,payment_method,ad_type,auto_renew,discount_used,monthly_charge,months_subscribed,watch_time_per_day,total_watch_hours,binge_score,complaints,support_calls,rating,reviews_written,peak_hours,joined_date,last_active_date,churn
U221958,67,Other,East,Premium,Mobile,Comedy,Credit Card,Non-Skippable Ads,1,0,599,3,2.003292688877565,60.1,0.07,2,0,3.3,0,Morning,2023-12-08,2024-04-03,0
U970910,57,Male,West,Standard,Mobile,Action,Debit Card,No Ads,1,1,399,9,1.5100555479273357,45.3,0.09,0,0,4.4,0,Evening,2024-03-25,2024-12-23,0
U704365,32,Male,West,Basic,Mobile,Thriller,Gift Code,No Ads,1,0,199,8,0.2,6.0,0.01,3,3,4.7,0,Evening,2024-08-08,2025-04-12,1
U148984,22,Male,North,Basic,Laptop,Comedy,Wallet,Skippable Ads,1,1,199,10,2.6285962332898656,78.86,0.17,0,0,3.4,0,Evening,2024-07-11,2025-05-25,0
U591234,52,Other,East,Premium,Smart TV,Drama,Credit Card,No Ads,1,1,599,7,2.741225448986319,82.24,0.11,1,0,3.2,1,Evening,2023-10-03,2024-05-26,0
U961882,66,Male,South,Standard,Smart TV,Romance,Debit Card,Non-Skippable Ads,1,0,399,2,3.166377160999732,94.99,0.14,0,0,2.6,0,Evening,2024-05-17,2024-07-29,0
U551269,23,Female,Tier-2,Basic,Tablet,Drama,Wallet,No Ads,1,0,199,6,3.697567311089477,110.93,0.18,0,0,1.8,0,Evening,2023-09-14,2024-03-21,0
U452228,47,Female,East,Standard,Smart TV,Horror,Debit Card,Skippable Ads,1,0,399,11,2.107107965069426,63.21,0.06,1,0,4.9,0,Evening,2023-05-10,2024-04-27,0
U978338,35,Male,West,Basic,Smart TV,Action,Credit Card,No Ads,1,0,199,5,3.42404662922592,102.72,0.21,0,0,4.2,1,Evening,2024-12-03,2025-05-09,0
U786976,63,Other,Metro,Premium,Mobile,Horror,UPI,Skippable Ads,1,0,599,7,3.3558767609600304,100.68,0.23,0,0,2.8,1,Afternoon,2024-11-29,2025-07-24,0
U909760,29,Male,West,Standard,Mobile,Thriller,Debit Card,Skippable Ads,0,1,399,1,2.790806193371806,83.72,0.11,0,0,5.0,0,Evening,2024-07-24,2024-09-13,0
U996048,32,Other,Tier-2,Premium,Mobile,Comedy,Credit Card,Skippable Ads,0,0,599,11,2.3927839908897974,71.78,0.17,2,0,4.4,2,Evening,2023-06-12,2024-05-08,1
U855073,41,Female,North,Basic,Mobile,Comedy,UPI,Skippable Ads,0,0,199,11,2.463542917675443,73.91,0.15,0,0,3.0,0,Evening,2024-02-25,2025-01-25,0
U805660,37,Female,Tier-2,Basic,Smart TV,Action,Credit Card,Non-Skippable Ads,1,0,199,9,2.37368672544769,71.21,0.05,0,0,4.9,1,Morning,2024-05-10,2025-02-27,0
U186672,34,Male,Tier-3,Basic,Smart TV,Sci-Fi,Wallet,No Ads,1,0,199,5,3.0458893798443873,91.38,0.12,0,0,5.0,0,Evening,2025-03-01,2025-08-06,0
U167215,66,Female,North,Basic,Mobile,Horror,Credit Card,Non-Skippable Ads,1,0,199,7,2.929218734496032,87.88,0.06,2,0,3.5,0,Morning,2023-12-02,2024-07-22,1
U651951,39,Other,South,Basic,Smart TV,Action,Gift Code,Non-Skippable Ads,1,1,199,6,2.980341753612487,89.41,0.04,2,0,3.8,0,Evening,2024-07-26,2025-02-03,0
U738873,25,Male,South,Basic,Mobile,Documentary,Wallet,No Ads,1,1,199,8,1.4395704321614655,43.19,0.03,1,0,2.8,2,Late Night,2022-11-19,2023-07-23,0
U737144,50,Male,North,Standard,Mobile,Comedy,Credit Card,Non-Skippable Ads,1,0,399,6,3.0457435859720974,91.37,0.07,0,0,3.7,0,Evening,2022-09-24,2023-04-18,0
U742612,38,Female,Tier-3,Basic,Smart TV,Romance,UPI,No Ads,1,0,199,6,1.5757369834320536,47.27,0.04,0,0,3.7,0,Late Night,2023-01-16,2023-07-27,0
U905497,17,Male,Metro,Basic,Tablet,Romance,Credit Card,Skippable Ads,1,1,199,11,1.5437511421659833,46.31,0.05,1,0,3.5,0,Evening,2024-06-23,2025-06-14,0
U506332,56,Female,East,Standard,Mobile,Action,Net Banking,Non-Skippable Ads,0,0,399,4,1.7402072249718756,52.21,0.06,1,1,5.0,0,Evening,2024-12-07,2025-05-02,1
