date,open,high,low,close,volume
2018-01-01,98.48,100.0,97.78,98.1,1201757
2018-01-02,96.39,97.25,94.92,96.67,956609
2018-01-03,98.43,100.09,97.18,97.96,767242
2018-01-04,95.87,96.08,93.87,95.72,562249
2018-01-05,93.63,94.26,93.35,94.03,627288
2018-01-08,95.36,95.52,95.22,95.31,626214
2018-01-09,94.24,95.07,93.2,94.52,1343222
2018-01-10,93.72,94.76,93.09,93.99,886068
2018-01-11,96.56,97.54,95.99,96.57,814273
2018-01-12,96.18,97.06,95.98,96.53,1187108
2018-01-15,95.65,96.24,94.71,96.08,1270352
2018-01-16,96.94,97.19,96.81,97.18,531143
2018-01-17,98.81,99.89,97.77,99.24,589753
2018-01-18,98.3,99.5,96.83,97.83,1375788
2018-01-19,98.82,99.45,98.47,99.17,1143890
2018-01-22,97.79,98.98,96.62,97.79,528176
2018-01-23,98.48,100.52,97.73,98.6,602960
2018-01-24,97.96,99.85,96.89,98.07,736134
2018-01-25,96.13,97.96,95.16,95.82,594723
2018-01-26,95.21,96.05,94.25,94.85,1201983
2018-01-29,93.69,95.95,93.39,94.13,1031054
2018-01-30,93.73,94.52,92.37,93.46,551761
2018-01-31,91.74,93.33,91.16,91.86,1273632
2018-02-01,92.94,94.39,92.04,93.22,1307977
2018-02-02,93.58,93.88,93.08,93.13,1177468
2018-02-05,95.72,96.73,95.33,95.57,594513
2018-02-06,97.28,97.52,95.45,97.34,849300
2018-02-07,97.54,99.06,95.88,97.69,1227705
2018-02-08,96.63,98.06,96.29,96.98,583536
2018-02-09,97.78,98.59,97.69,97.82,520657
2018-02-12,100.97,102.26,99.9,100.72,1339087
2018-02-13,98.05,100.0,97.64,98.46,570061
2018-02-14,98.13,98.15,96.35,98.02,857988
2018-02-15,96.19,96.84,95.03,96.13,641065
2018-02-16,93.91,95.34,93.81,94.37,867797
2018-02-19,93.07,94.19,91.96,93.03,824808
2018-02-20,93.47,93.58,92.46,93.16,1183850
2018-02-21,94.02,95.25,92.99,93.78,1354513
2018-02-22,94.91,96.28,93.64,95.01,840832
2018-02-23,93.57,94.7,91.4,93.22,803222
2018-02-26,95.03,96.66,93.76,94.99,508340
2018-02-27,96.61,98.48,94.58,96.42,1391183
2018-02-28,95.51,96.59,94.77,95.26,1495396
2018-03-01,96.19,97.79,95.6,95.77,881508
2018-03-02,93.66,95.2,91.93,93.67,867169
2018-03-05,94.57,95.18,92.7,95.02,577152
2018-03-06,93.56,95.1,92.68,93.17,812241
2018-03-07,91.21,92.38,90.88,91.07,551510
2018-03-08,88.87,89.97,87.93,88.85,709118
2018-03-09,87.52,87.83,85.52,87.12,798410
2018-03-12,86.17,86.4,84.47,86.05,1262822
2018-03-13,86.85,87.72,85.28,87.07,960306
2018-03-14,87.9,88.24,85.94,87.59,1401270
2018-03-15,88.03,88.05,86.86,87.76,790599
